name,views,char_length,packages
CORD-19 Match articles to tasks w/ Doc2Vec,"2,231",4042,"['os', 'json', 'pprint.pprint', 'copy.deepcopy', 'numpy', 'pandas', 'tqdm.notebook.tqdm', 're', 'gensim', 'random', 'sklearn.neighbors.NearestNeighbors', 'sklearn.cluster.KMeans', 'yellowbrick.cluster.KElbowVisualizer', 'sklearn.decomposition.PCA', 'umap', 'plotly.express']"
COVID-19: Topic Modeling and Search with Top2Vec,86,1562,"['numpy', 'pandas', 'json', 'os', 'top2vec.Top2Vec']"
CoronaWhy.org - Task: Risk Factors,79,6378,['IPython.display.HTML']
Epidemiology math models used in Research,154,3353,"['pandas', 're', 'pycountry', 'plotly.express', 'plotly.graph_objects', 'bokeh.io.output_file', 'bokeh.io.show', 'bokeh.io.output_notebook', 'bokeh.plotting.figure']"
Age Dependent Incubation Period,142,81,"['numpy', 'pandas', 'search_func_py.*']"
COVID-19 Detection from X Ray Images of Lungs,"1,117",719,"['IPython.display.Image', 'keras.preprocessing.image.ImageDataGenerator', 'keras.preprocessing.image.img_to_array', 'keras.preprocessing.image.load_img', 'numpy', 'argparse', 'cv2', 'os', 'imutils.paths', 'tensorflow.keras.preprocessing.image.ImageDataGenerator', 'tensorflow.keras.applications.VGG16', 'tensorflow.keras.layers.AveragePooling2D', 'tensorflow.keras.layers.Dropout', 'tensorflow.keras.layers.Flatten', 'tensorflow.keras.layers.Dense', 'tensorflow.keras.layers.Input', 'tensorflow.keras.models.Model', 'tensorflow.keras.optimizers.Adam', 'tensorflow.keras.utils.to_categorical', 'sklearn.preprocessing.LabelBinarizer', 'sklearn.model_selection.train_test_split', 'sklearn.metrics.classification_report', 'sklearn.metrics.confusion_matrix', 'matplotlib.pyplot']"
BioBERT+CorEx Topic Search,725,2578,"['scipy.spatial.distance.cdist', 'subprocess', 'numpy', 'pandas', 'matplotlib.pyplot', 'pickle', 'ipywidgets.interact', 'ipywidgets.widgets#thisiswhatmakesthedataframeinteractive', 'sklearn.feature_extraction.text.CountVectorizer', 'scipy.sparse', 'corextopic.corextopicasct', 'bert_serving.client.BertClient']"
CORD-19 : FastText words clustering,"1,173",2375,"['numpy', 'pandas', 'matplotlib.pyplot', 'time', 'warnings', 'sklearn.manifold.TSNE', 'matplotlib.cm', 'matplotlib.style', 'spacy', 'spacy.lang.en.English', 'nltk.tokenize.word_tokenize', 'collections.Counter', 'nltk.corpus.stopwords', 'gensim.models.Word2Vec', 'multiprocessing.cpu_count', 'gensim.downloader', 're', 'string', 'unicodedata', 'nltk.stem.LancasterStemmer', 'nltk.stem.WordNetLemmatizer', 'gensim.models.FastText', 'plotly.io', 'plotly.graph_objects', 'plotly.offline.download_plotlyjs', 'plotly.offline.init_notebook_mode', 'plotly.offline.plot', 'plotly.offline.iplot']"
CORD-19: Create Dataframe,303,1272,"['numpy', 'pandas', 'glob', 'json', 'IPython.utils.io', 'scispacy', 'spacy', 'en_core_sci_lg', 'spacy_langdetect.LanguageDetector']"
CORD19 Metadata Enrich: Altmetric API,59,755,"['altmetric.Altmetric', 'pandas', 'numpy', 'tqdm.notebook.tqdm', 'glob', 'uuid']"
PySpark DataFrame Preprocessing for CORD-19,751,2986,"['pyspark.sql.functions.lit', 'pyspark.sql.types.(', 'pyspark.sql.SparkSession', 'pyspark.sql.functionsasF', 'pyspark.sql.Window']"
COVID19,131,3052,"['numpy', 'pandas', 'os', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.decomposition.LatentDirichletAllocation', 'pyLDAvis.sklearn', 'json', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'wordcloud.ImageColorGenerator', 'PIL.Image', 're', 'seaborn', 'matplotlib.pyplot', 'matplotlib.style', 'sklearn.cluster.MiniBatchKMeans', 'sklearn.decomposition.PCA', 'sklearn.metrics', 'gensim.models.Word2Vec', 'gensim.models.KeyedVectors', 'sklearn.neighbors.nearest_centroid.NearestCentroid', 'sklearn.cluster.AgglomerativeClustering', 'sklearn.cluster.KMeans', '', 'copy']"
AaaAaa,44,289,"['numpy', 'pandas', 'spacy', 'os']"
Consolidating Effects of Risk Factors on COVID-19,"1,244",840,"['numpy', 'pandas', 'json', 'IPython.display.Image', 'IPython.core.display.HTML', 're', 're.finditer', 'nltk', 'spacy', 'nltk.stem.PorterStemmer', 'collections.defaultdict', 'os']"
COVID-19 Open Research Dataset (CORD-19)-Analysis,359,3279,"['os', 'json', 'pandas', 'tqdm.tqdm', 'numpy', 'nltk.corpus.wordnet', 're', 'matplotlib.pyplot', 'nltk.corpus.stopwords', 'stop_words.get_stop_words']"
Vaccine data filter,"3,152",1848,"['numpy', 'pandas', 'json', 'os', 'nltk.stem.porter.PorterStemmer', 'nltk.stem.wordnet.WordNetLemmatizer', 're', 'nltk', 'nltk.corpus.stopwords', 'nltk.tokenize.RegexpTokenizer', 'os.path', 'PIL.Image', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'wordcloud.ImageColorGenerator', 'matplotlib.pyplot']"
Create Corona .csv File,308,2,"['numpy', 'pandas', 'os', 'json', 'glob', 'sys']"
World Covid-19 EDA,"2,130",437,"['numpy', 'pandas', 'os', 'folium', 'seaborn', 'matplotlib.pyplot']"
COVID2020,"1,033",2,"['numpy', 'pandas', 'os']"
Non-pharmaceutical interventions Covid-19,"1,679",13479,"['IPython.display.Image', 'numpy', 'pandas', 'seaborn', 'matplotlib.pyplot', 'sklearn.feature_extraction', 'sklearn.linear_model', 'sklearn.model_selection', 'sklearn.preprocessing', 'plotly.graph_objs', 'plotly.offline', 'plotly.express', 'os', 'json', 'matplotlib.pyplotasplt']"
Topic Modelling: Journals Content About COVID-19📄,360,4017,"['os', 'json', 'numpy', 'pandas', 're', 'IPython.display.display', 'tqdm.tqdm', 'collections.Counter', 'ast', 'plotly.offline.download_plotlyjs', 'plotly.offline.init_notebook_mode', 'plotly.offline.plot', 'plotly.offline.iplot', 'plotly', 'plotly.graph_objs', 'gensim', 'gensim.corpora', 'gensim.models', 'gensim.similarities', 'logging', 'tempfile', 'nltk.corpus.stopwords', 'string.punctuation', 'collections.OrderedDict', 'seaborn', 'pyLDAvis.gensim', 'matplotlib.pyplot', 'warnings', 'matplotlib.mlab', 'sklearn.feature_extraction.text.CountVectorizer', 'textblob.TextBlob', 'scipy.stats', 'sklearn.decomposition.TruncatedSVD', 'sklearn.decomposition.LatentDirichletAllocation', 'sklearn.manifold.TSNE', 'bokeh.plotting.figure', 'bokeh.plotting.output_file', 'bokeh.plotting.show', 'bokeh.models.Label', 'bokeh.io.output_notebook', 'sklearn.metrics.accuracy_score', 'sklearn.metrics.f1_score', 'tqdm.tqdm_notebookastqdm', 'Levenshtein.ratioaslevenshtein_distance', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.feature_extraction.text', 'scipy.spatial']"
A references-based atlas of COVID-19 research,149,3165,"['pandas', 'Bio.Entrez']"
Mat2Vec/COVID papers: Unexpected word asociations,379,1156,[]
Beat Corona,25,36,"['os', 'json', 'pprint.pprint', 'copy.deepcopy', 'numpy', 'pandas', 'tqdm.tqdm', 'tqdm.notebook']"
Hyperion,278,3763,['IPython.display.IFrame']
add_pub_types_to_metadata_df,39,2,"['pandas', 'json', 'Bio.Entrez', 'Bio.Medline', 'collections.Counter']"
COVID-19: Extracting the Hidden Topics With Gensim,80,4483,"['numpy', 'pandas', 'matplotlib.pyplot', 'seaborn', 'gensim', 'gensim.corpora', 'gensim.utils.simple_preprocess', 'gensim.models.CoherenceModel', 'spacy', 'pyLDAvis', ""pyLDAvis.gensim#don'tskipthis"", 're', 'string', 'nltk', 'nltk.corpus.stopwords', 'nltk.tokenize.word_tokenize', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.feature_extraction.text.TfidfVectorizer', 'warnings']"
Covids Incubation & Transmission Related Articles,"1,054",1413,"['numpy', 'pandas', 'os']"
Corona virus latest analysis,616,5556,"['numpy', 'pandas', 'matplotlib.pyplot', 'seaborn', 'plotly.express', 'folium', 'os']"
COVID-19 Save people in developing countries,38,1293,[]
Testing Positive After Recovery,58,55,"['numpy', 'pandas', 'search_func_py.*']"
CORD-19 : LDA Topic Model - Abstracts,40,2,"['numpy', 'pandas', 'os', 'json', 'gensim', 'nltk', 'pyLDAvis.gensim', 'nltk.stem.WordNetLemmatizer', 'nltk.stem.SnowballStemmer', 'nltk.corpus.stopwords', 'gensim.corpora', 'gensim.models']"
CORD19: Generating CORONA CSV,30,169,"['numpy', 'tqdm.tqdm']"
Range of incubation periods for the disease,101,475,"['numpy', 'pandas', 'json', 're', 'os', 'matplotlib.style', 'tqdm.tqdm', 'matplotlib.pyplot']"
count_pmids_per_journal_no_full_text,20,2,['pandas']
Comparison of COVID-19 virus growth per country,329,2551,"['numpy', 'pandas', 'os#operatingsystem', 'matplotlib.pyplot', 'matplotlib.ticker', 'matplotlib']"
"COVID-19 Search Engine for all Queries, USE","2,353",3114,"['pandas', 'numpy', 'os', 're', 'operator', 'nltk', 'json', 'copy.deepcopy', 'nltk.tokenize.word_tokenize', 'nltk.pos_tag', 'nltk.corpus.stopwords', 'nltk.stem.WordNetLemmatizer', 'collections.defaultdict', 'nltk.corpus.wordnetaswn', 'sklearn.feature_extraction.text.TfidfVectorizer', 'tqdm.notebook.tqdm', 'time.sleep', 'tensorflow', 'tensorflow_hub', 'matplotlib.pyplot', 'sklearn.metrics.pairwise.linear_kernel']"
TaBu2020,29,1743,"['numpy', 'pandas', 'matplotlib.pyplot', 'json', 'spacy', 're', 'sklearn', 'sklearn.feature_extraction.text.CountVectorizerasBoW', 'sklearn.feature_extraction.text.TfidfVectorizerasTF_IDF', 'sklearn.decomposition.LatentDirichletAllocation', 'sklearn.linear_model.LogisticRegressionasLR', 'sklearn.model_selection.KFold', 'sklearn.svm.SVC', 'scipy.spatial.distance.cosineasdist', 'operator', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS']"
COVID-19 Transmission and incubation,"1,051",307,"['covid19_tools', 'pandas', 're', 'IPython.core.display.display', 'IPython.core.display.HTML']"
corona_text_mining_spacy,"1,051",1502,"['os', 'json', 'gensim.models.Word2Vec', 'numpy', 'pandas', 'nltk', 'spacy', 'tqdm.notebook.tqdm']"
User-Friendly: Finding Related Articles,998,2124,"['IPython.utils.io', 'numpy', 'pandas', 'sklearn.feature_extraction.text', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.decomposition.LatentDirichletAllocation', 'scispacy', 'spacy', 'scipy.spatial.distance.jensenshannon', 'joblib', 'pyLDAvis', 'pyLDAvis.sklearn', 'IPython.display.HTML', 'IPython.display.display', 'ipywidgets.interact', 'ipywidgets.Layout', 'ipywidgets.HBox', 'ipywidgets.VBox', 'ipywidgets.Box', 'ipywidgets', 'IPython.display.clear_output', 'tqdm.tqdm', 'en_core_sci_md']"
COVID-19 - AutoComplete Search Bar,"2,410",410,"['numpy', 'pandas', 'pathlib.Path', 'pathlib.PurePath', 'requests', 'requests.exceptions.HTTPError', 'requests.exceptions.ConnectionError', 'ipywidgets.interact', 'ipywidgets', 'IPython.display.display', 'rank_bm25.BM25Okapi', 'nltk', 'nltk.corpus.stopwords', 're', 'plotly.express']"
I-COVID19-NLP Data Parsing ,"1,125",1552,"['numpy', 'pandas', 'json', 'os', 'networkx', 'matplotlib.pyplot']"
Covid-19 subset of articles,420,161,"['glob', 'json', 'os', 'numpy', 'pandas', 'pprint.pprint']"
COVID-19-BERT-ResearchPapers-Semantic-Search,975,58758,"['os', 'glob', 'json', 'pandas', 'tqdm.tqdm', 're', 'sentence_transformers.SentenceTransformer', 'scipy.spatial', 'pickle']"
COVID-19: Knowledge Graph (Starter),656,1192,"['rdflib', 'networkx', 'matplotlib.pyplot']"
Basic Setup to import the JSON files,369,295,[]
Creating A Doc2Vec Model,642,4318,"['gensim.models.doc2vec.Doc2Vec', 'gensim.models.doc2vec.TaggedDocument', 'nltk.tokenize.word_tokenize', 'pandas', 'sys']"
biobert-covid2,34,2,"['numpy', 'pandas', 'os', 'scipy.spatial.distance.cdist', 'subprocess', 'matplotlib.pyplot', 'pickle', 'nltk.word_tokenize', 'nltk.corpus.stopwords', 'string.punctuation', 'scipy.spatial.distance', 'nltk', 'bert_serving.client.BertClient']"
biobert-covid4,22,2,"['os', 'pandas', 'numpy', 'scipy.spatial.distance.cdist', 'subprocess', 'matplotlib.pyplot', 'pickle', 'nltk.word_tokenize', 'nltk.corpus.stopwords', 'string.punctuation', 'scipy.spatial.distance', 'nltk', 'bert_serving.client.BertClient']"
COVID-19 CT-Scan & Xray CNN Detector,704,392,"['pandas', 'os', 'numpy', 'random', 'cv2', 'matplotlib.pyplot', 'tensorflow.keras.models.Model', 'tensorflow.keras.models.Sequential', 'tensorflow.keras.layers.Input', 'tensorflow.keras.layers.Dense', 'tensorflow.keras.layers.Flatten', 'tensorflow.keras.layers.Dropout', 'tensorflow.keras.layers.BatchNormalization', 'tensorflow.keras.layers.Conv2D', 'tensorflow.keras.layers.SeparableConv2D', 'tensorflow.keras.layers.MaxPool2D', 'tensorflow.keras.layers.LeakyReLU', 'tensorflow.keras.layers.Activation', 'tensorflow.keras.optimizers.Adam', 'tensorflow.keras.preprocessing.image.ImageDataGenerator', 'tensorflow.keras.callbacks.ModelCheckpoint', 'tensorflow.keras.callbacks.ReduceLROnPlateau', 'tensorflow.keras.callbacks.EarlyStopping', 'tensorflow', 'sklearn.metrics.accuracy_score', 'sklearn.metrics.confusion_matrix', 'logging']"
Match Papers To Tasks,369,682,"['functools.reduce', 'pandas', 'numpy', 're', 'matplotlib.pyplot', 'sklearn.feature_extraction.text.TfidfVectorizer', 'IPython.core.display.display', 'IPython.core.display.HTML']"
Task Question Search,384,41,"['pandas', 'numpy', 'glob.glob', 'json', 'nltk.corpus.stopwords', 'tqdm.auto.tqdm', 're', 'IPython.display.HTML', 'IPython.display.display']"
CORD-19-research-challenge: Relevant doc search,341,1604,"['numpy', 'pandas', 'spacy', 'os', 'spacy.matcher.PhraseMatcher', 'collections.defaultdict']"
II-COVID19-Citation Network,397,1633,"['numpy', 'pandas', 'json', 'os', 'networkx', 'matplotlib.pyplot', 'seaborn']"
CORD-19 Topic Modelling on Abstracts,49,127,"['numpy', 'pandas', 'os', 'nltk', 'nltk.stem.WordNetLemmatizer', 'nltk.corpus.stopwords', 'nltk.tokenize.word_tokenize', 'string', 'gensim', 'gensim.models', 'sklearn.manifold.TSNE', 'bokeh.plotting.figure', 'bokeh.plotting.output_file', 'bokeh.plotting.show', 'bokeh.models.Label', 'bokeh.io.output_notebook', 'matplotlib.colors', 'matplotlib.pyplot']"
COVID-19 EDA,27,2,[]
COVID-19 - Temperature and Transmission Rates,831,2586,"['numpy', 'pandas', 'seaborn', 'matplotlib.pyplot', ""warnings#currentversionofseaborngeneratesabunchofwarningsthatwe'llignore"", 'os', 'plotly', 'plotly.graph_objects', 'plotly.offline.download_plotlyjs', 'plotly.offline.init_notebook_mode', 'plotly.offline.plot', 'plotly.offline.iplot', 'plotly.offline', 'plotly.express']"
covid-19-mortality,"1,175",2,[]
COVID-19 Ultimate: Chronology + Patients analysis,702,2565,"['numpy', 'pandas', 'pandas_datareader.wb', 'matplotlib.pyplot', 'seaborn', 'plotly.express', 'plotly.graph_objects', 'wordcloud.WordCloud', 'plotly.subplots.make_subplots', 'pandas.plotting.register_matplotlib_converters', 'warnings', 'IPython.display.Javascript', 'IPython.core.display.display', 'IPython.core.display.HTML', 'IPython.display.set_matplotlib_formats']"
BIO-NER on COVID 19 data,299,161,"['numpy', 'pandas', 'json', 'os', 'scispacy', 'en_ner_bionlp13cg_md', 'spacy.displacy', 'scispacy.abbreviation.AbbreviationDetector', 'scispacy.umls_linking.UmlsEntityLinker', 'collections.Counter', 'matplotlib.pyplot']"
"""Learning"" Medicine with Word Embeddings ⚕️💊💉  ",91,1912,"['re', 'pandas', 'collections.defaultdict', 'spacy', 'en_core_web_sm', 'numpy', 'matplotlib.pyplot', 'gensim.models.phrases.Phrases', 'gensim.models.phrases.Phraser', 'multiprocessing', 'gensim.models.Word2Vec', 'sklearn.decomposition.PCA']"
kernelcb2b29c22c,17,2,"['nltk.tokenize.sent_tokenize', 'nltk.tokenize.word_tokenize', 'warnings', 'gensim', 'gensim.models.Word2Vec']"
COVID-19-xray-DL,803,5465,"['numpy', 'pandas', 'os', 'fastai.*', 'fastai.vision.*']"
Exploratory Data Analysis covid-19 from eCDC,406,1745,[]
Map Search of Places in CORD-19 Full Text,360,973,['IPython.display.IFrame']
CORD-19 Human Genes Insights,252,305,"['json', 'os', 're', 'sys', 'collections.Counter', 'numpy', 'pandas', 'matplotlib.pyplot', 'seaborn', 'tqdm.tqdm']"
COVID-19 using TF-IDF,"1,805",17245,"['pandas', 'numpy', 'json', 'math', 'glob', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.feature_extraction.text.TfidfTransformer', 'nltk.stem.snowball.SnowballStemmer', 'scipy.spatial.distance', 'matplotlib.pyplotasplt', 'wordcloud.WordCloud', 'ipywidgets', 'IPython.display.Image', 'IPython.display.display', 'IPython.display.HTML']"
Covid-19 epidemiological curves at regional level,666,2012,[]
COVID-19 Pandemic EDA  📊,301,1397,"['numpy', 'pandas', 'os', 'IPython']"
Extract Entities from Abstracts,"1,130",300,"['os', 'scispacy', 'spacy', 'spacy.displacy', 'scispacy.abbreviation.AbbreviationDetector', 'scispacy.umls_linking.UmlsEntityLinker', 'en_core_sci_lg', 'json']"
Demo of using Custom NER model on COVID-19 dataset,643,1642,"['os', 'json', 'warnings', 'spacy', 'matplotlib.pyplot', 'operator']"
CORD-19 Sources unification with pyspark SQL,253,1116,"['numpy', 'pandas', 'matplotlib.pyplot', 'seaborn', 'glob', 'json', 'pathlib.Path', 'pyspark.SparkContext', 'pyspark.sql.SparkSession', 'pyspark.sql.functions.*']"
Train a Word2Vec,435,329,"['pathlib.Path', 'tqdm.auto.tqdm', 'json', 'spacy', 'gensim.models.Word2Vec']"
CORD-19 Metadata ,272,89,"['matplotlib.pyplot', 'PIL.Image', 'seaborn', 'pandas', 'numpy', 'math', 'sklearn', 'sklearn.model_selection.train_test_split', 'sklearn.metrics.mean_squared_error', 'sklearn.metrics.r2_score', 'sklearn.metrics.mean_absolute_error', 'sklearn.preprocessing', 'sklearn.feature_extraction.text.CountVectorizer', 'time', 'warnings', 'json']"
Viral agents. S100A12 marker.,122,1789,"['IPython.display.Image', 'numpy', 'pandas', 'os', 'json', 'matplotlib.pyplotasplt', 'pronouncing', 'markovify', 're', 'random', 'keras', 'keras.models.Sequential', 'keras.layers.LSTM', 'keras.layers.core.Dense']"
Covid-19,33,205,"['numpy', 'pandas', 'os', 'typing.List', 'typing.Dict', 'typing.Iterable', 'typing.Tuple', 'json', 'tqdm.tqdm', 'spacy', 'spacy.tokens.Span', 'scispacy.abbreviation.AbbreviationDetector', 'scispacy.umls_linking.UmlsEntityLinker', 'glob', 'pickle', 'spacy.displacy', 'spacy.matcher.Matcher', 'collections.Counter', 'matplotlib.pyplot', 'ipywidgets.interact', 'ipywidgets.interactive', 'ipywidgets.fixed', 'IPython.display.Image', 'cv2', 'mpl_toolkits.mplot3d.Axes3D', 'sklearn.decomposition', 'sklearn.datasets', 'sklearn.cluster.KMeans', 'gc', 'en_ner_bc5cdr_md']"
Asking questions with a BM25/BERT,132,2842,"['numpy', 'pandas', 'pathlib.Path', 'pathlib.PurePath', 'requests', 'requests.exceptions.HTTPError', 'requests.exceptions.ConnectionError', 'ipywidgets.interact', 'ipywidgets', 'rank_bm25.BM25Okapi', 'nltk', 'nltk.corpus.stopwords', 're', 'transformers.pipeline', 'torch']"
Utilizing BioBERT for K-means Topic Clustering,208,2,"['numpy', 'pandas', 'os', 'biobert_embedding.embedding.BiobertEmbedding', 'sklearn.preprocessing.MinMaxScaler', 'sklearn.cluster.KMeans', 'matplotlib.pyplot', 'seaborn', 'langdetect.detect', 're', 'textblob.Word', 'gensim.parsing.preprocessing.remove_stopwords', 'nltk', 'nltk.FreqDist', 'string', 'collections', 'nltk.util.ngrams', 'gensim.parsing.preprocessing.STOPWORDS']"
A CORD19 Research Paper Search Engine,249,2094,['cord.ResearchPapers']
Covid-19 citation graph - embedding using DeepWalk,346,125,"['numpy', 'pandas', 'os', 'json', 'multiprocessing.Pool', 'random', 'pickle', 're', 'functools.reduce', 'networkx', 'gensim.models.Word2Vec', 'gc']"
CORD-19-parse-docs-R,141,2,[]
Diagnosing Covid-19,648,11790,"['IPython.display.Image', 'numpy', 'pandas', 'json', 'matplotlib.pyplot', 'seaborn', 'plotly.offline', 'cv2', 'sklearn.feature_extraction', 'sklearn.linear_model', 'sklearn.model_selection', 'sklearn.preprocessing', 'plotly.graph_objs', 'plotly.express', 'os', 'collections.Counter', 'IPython.display.HTML', 'altair', '.v5', 'collections.defaultdict', 'fastai.vision.*', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'nltk.corpus.stopwords', 'shutil', 'glob.glob']"
COVID-19 - Top Scholarly Journals,705,2120,"['numpy', 'pandas', 'os', 'csv', 'matplotlib', 'nltk', 'nltk.corpus.stopwords', 'textblob.TextBlob']"
LDA & Information Visualization from CORD-19,371,300,"['numpy', 'pandas', 'os', 'json', 'glob', 'spacy', 'spacy.lang.en.stop_words.STOP_WORDS', 'spacy.lang.en.English', 'sklearn.feature_extraction.text.CountVectorizer', 're', 'wordcloud.WordCloud', 'matplotlib.pyplot', 'seaborn', 'warnings', 'sklearn.decomposition.LatentDirichletAllocationasLDA']"
Keywords on the subject - Ethical and social,794,447,"['numpy', 'pandas', 'matplotlib.pyplot', 'seaborn', 'nltk.corpus.stopwords', 'nltk', 're', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.decomposition.NMF', 'sklearn.decomposition.LatentDirichletAllocation', 'sklearn.cluster.KMeans', 'sklearn.manifold.TSNE', 'os']"
"COVID-19, Find the Right Research Paper, with tags",378,3556,"['os', 'json', 'pprint.pprint', 'copy.deepcopy', 'numpy', 'pandas', 'tqdm.notebook.tqdm', 're']"
Topic Modeling (LDA) on CORD-19 Paper Abstracts ,485,374,"['os', 're', 'sys', 'numpy', 'pandas', 'matplotlib.pyplot', 'nltk.corpus.stopwords', 'json', 'time', 'warnings', 'datetime', 'nltk.tokenize.RegexpTokenizer', 'nltk.stem.wordnet.WordNetLemmatizer', 'gensim.corpora.Dictionary', 'gensim.models.LdaModel', 'gensim.models.LdaMulticore']"
Air Temperature and COVID-19,255,75,"['numpy', 'pandas', 'search_func_py.*']"
Covid-19 Launched Treaments by WHO WorldCloud,39,234,"['glob.glob', 'json', 'numpy', 'pandas', 'matplotlib.pyplot', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'os']"
covid-19-incubation-time,70,2,"['os', 'json', 'pandas', 'tqdm.tqdm', 're', 'matplotlib.pyplot', 'matplotlib.style', 'numpy', 'seaborn']"
Covid-19 literature query tool,162,2976,"['numpy', 'pandas', 'IPython.display.Markdown', 'IPython.display.display', 'os']"
Extracting entities linked to UMLS with scispaCy,174,2,"['typing.List', 'typing.Dict', 'typing.Iterable', 'typing.Tuple', 'os', 'json', 'tqdm.tqdm', 'spacy', 'spacy.tokens.Span', 'scispacy.abbreviation.AbbreviationDetector', 'scispacy.umls_linking.UmlsEntityLinker']"
"Searching data using KNN neighbors, topic modeling",347,2950,"['numpy', 'gensim', 'os', 're', 'gensim.utils.simple_preprocess', 'gensim.parsing.preprocessing.STOPWORDS', 'gensim.corpora', 'gensim.models.ldamulticore.LdaMulticore', 'pandas', 'en_core_sci_md', 'spacy', 'spacy.tokenizer.Tokenizer', 'sklearn.neighbors.NearestNeighbors', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.decomposition.LatentDirichletAllocation', 'pyLDAvis.gensim']"
Comfirmed bar chart race depending on country,220,13,"['pandas', 'matplotlib.pyplot', 'matplotlib.ticker', 'matplotlib.animation', 'IPython.display.HTML', 'random', 're', 'matplotlib.colors', 'colorsys', 'random.randint', 'warnings']"
COVID-19 what is risk?,212,1635,"['os', 'numpy', 'pandas']"
COVID-19 : Searching for the papers about vaccines,199,93,"['IPython.core.display.display', 'IPython.core.display.HTML', 'pandas', 're', 'ipywidgets']"
Agglomerative Document Clustering on CORD-19,297,3947,"['scipy.cluster.hierarchy.ward', 'scipy.cluster.hierarchy.dendrogram', 'scipy.cluster.hierarchy.fcluster', 'scipy.cluster.hierarchy.single', 'scipy.cluster.hierarchy.complete', 'sklearn.metrics.pairwise.cosine_similarity', 'sklearn.metrics.silhouette_score', 'sklearn.feature_extraction.text.TfidfVectorizer', 'nltk', 'nltk.stem.WordNetLemmatizer', 'pandas', 'numpy', 'os', 'json', 'matplotlib.pyplot', 'tqdm.tqdm', 'copy.deepcopy', 'time']"
Using Whoosh for Indexing and Querying,210,1281,"['os', 'json', 'pprint.pprint', 'copy.deepcopy', 'numpy', 'pandas', 'tqdm.notebook.tqdm', 'whoosh.index.create_in', 'whoosh.fields.*', 'whoosh.qparser.QueryParser', 'whoosh.query.*']"
Search COVID-19 papers for particular information ,137,16271,"['numpy', 'pandas', 'pathlib.Path', 'pathlib.PurePath', 'requests', 'requests.exceptions.HTTPError', 'requests.exceptions.ConnectionError', 'ipywidgets.interact', 'ipywidgets', 'nltk', 'nltk.corpus.stopwords']"
Weather and Covid 19 Outbreak ,653,4106,"['IPython.display.Video', 'IPython.display.Image', 'numpy', 'pandas', 'os', 'json', 'tqdm.tqdm']"
KEYWORDS EXTRACTION AND TEXT CLUSTERING COVID-19,45,1376,"['numpy', 'pandas', 'os', 'warnings', 're', 'nltk', 'nltk.stem.porter.PorterStemmer', 'nltk.tokenize.RegexpTokenizer', 'nltk.corpus.stopwords', 'nltk.stem.wordnet.WordNetLemmatizer', 'wordcloud.WordCloud', 'wordcloud.STOPWORDS', 'wordcloud.ImageColorGenerator', 'matplotlib.pyplot', 'seaborn', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.feature_extraction.text.TfidfTransformer', 'scipy.sparse.coo_matrix', 'sklearn', 'sklearn.cluster.MiniBatchKMeans', 'sklearn.decomposition.PCA', 'mpl_toolkits.mplot3d.Axes3D']"
COVID USA,26,3492,"['pandas', 'numpy', 'matplotlib.pyplot', 'matplotlib.ticker', 'pycountry_convert', 'folium', 'branca', 'datetime.datetime', 'datetime.timedelta', 'datetime.date', 'scipy.interpolate.make_interp_spline', 'scipy.interpolate.BSpline', 'plotly.express', 'json', 'requests', 'keras.layers.Input', 'keras.layers.Dense', 'keras.layers.Activation', 'keras.layers.LeakyReLU', 'keras.models', 'keras.optimizers.RMSprop', 'keras.optimizers.Adam']"
"abstracts clustering, LDA, NMF, SciBERT embeddings",314,1045,"['numpy', 'pandas', 'os', 'json', 'glob', 'sys', 'sklearn.feature_extraction.text.TfidfVectorizer', 'sklearn.cluster.KMeans', 'sklearn.feature_extraction.text.CountVectorizer', 'sklearn.decomposition.NMF', 'sklearn.decomposition.LatentDirichletAllocation', 'transformers.*', 'tensorflow', 'tqdm.tqdm', 'umap', 'bokeh.plotting.figure', 'bokeh.plotting.show', 'bokeh.plotting.output_notebook', 'bokeh.models.HoverTool', 'bokeh.models.ColumnDataSource', 'bokeh.models.CategoricalColorMapper', 'bokeh.palettes.Spectral10', 'bokeh.palettes.Category20c', 'bokeh.palettes.magma']"
Abstract Summarization with Transformers & BART,164,1341,"['numpy', 'pandas', 'transformers.pipeline', 'functools', 'IPython.core.display.display', 'IPython.core.display.HTML', 'nltk.PorterStemmer', 'tqdm.notebook.tqdm_notebook']"
